sensor_type,bacon_id,toast_id,sensor_channel,sensor_id,unixTS,isoTS,date,time,voltage,tsQuality
0,0x0400000000000112,0x0600000000000067,4,0,1600696255.14,2020-09-21 09:50:55,2020-09-21,09:50:55,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,5,0,1600696255.14,2020-09-21 09:50:55,2020-09-21,09:50:55,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,6,0,1600696255.14,2020-09-21 09:50:55,2020-09-21,09:50:55,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,7,0,1600696255.14,2020-09-21 09:50:55,2020-09-21,09:50:55,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,8,0,1600696255.14,2020-09-21 09:50:55,2020-09-21,09:50:55,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,4,0,1600858979.61,2020-09-23 07:02:59,2020-09-23,07:02:59,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,5,0,1600858979.61,2020-09-23 07:02:59,2020-09-23,07:02:59,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,6,0,1600858979.61,2020-09-23 07:02:59,2020-09-23,07:02:59,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,7,0,1600858979.61,2020-09-23 07:02:59,2020-09-23,07:02:59,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,8,0,1600858979.61,2020-09-23 07:02:59,2020-09-23,07:02:59,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,4,0,1600946702.02,2020-09-24 07:25:02,2020-09-24,07:25:02,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,5,0,1600946702.02,2020-09-24 07:25:02,2020-09-24,07:25:02,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,6,0,1600946702.02,2020-09-24 07:25:02,2020-09-24,07:25:02,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,7,0,1600946702.02,2020-09-24 07:25:02,2020-09-24,07:25:02,0.0000,1.0000
0,0x0400000000000112,0x0600000000000067,8,0,1600946702.02,2020-09-24 07:25:02,2020-09-24,07:25:02,0.0000,1.0000
0,0x0400000000000113,0x060000000000006a,4,0,1603478857.02,2020-10-23 14:47:37,2020-10-23,14:47:37,0.0000,1.0000
0,0x0400000000000113,0x060000000000006a,5,0,1603478857.02,2020-10-23 14:47:37,2020-10-23,14:47:37,0.0000,1.0000
0,0x0400000000000113,0x060000000000006a,6,0,1603478857.02,2020-10-23 14:47:37,2020-10-23,14:47:37,0.0000,1.0000
